node,AreaFactor,VWL_ON_V,Twrite_ns,hold_start_time_s,hold_end_time_s,VSN_write_peak_V,VSN_hold_start_V,VSN_hold_100ns_V,Delta_VSN_100ns_V,abs_delta_VSN_100ns_V,Loss_pct,abs_loss_pct,points
193,0.011,3,200,2.02e-07,3.02e-07,0.889007741139332,0.887735712518885,0.88773571247665,4.22353263473951e-11,4.22353263473951e-11,4.75764642018912e-09,4.75764642018912e-09,1001
205,0.011,3,300,3.02e-07,4.02e-07,0.919485568242044,0.918160706327948,0.918160706264401,6.35466124165873e-11,6.35466124165873e-11,6.92107732106429e-09,6.92107732106429e-09,1001
182,0.017,1.5,100,1.02e-07,2.02e-07,0.158570773929265,0.157484308087,0.157484308086462,5.37625499674732e-13,5.37625499674732e-13,3.41383536052195e-10,3.41383536052195e-10,1001
194,0.017,1.5,200,2.02e-07,3.02e-07,0.191994958234933,0.1909786124566,0.190978612456919,-3.18606252491804e-13,3.18606252491804e-13,-1.66828237148392e-10,1.66828237148392e-10,1001
206,0.017,1.5,300,3.02e-07,4.02e-07,0.21099052094955,0.209946177414515,0.209946177413932,5.82756065625745e-13,5.82756065625745e-13,2.7757403006922e-10,2.7757403006922e-10,1001
183,0.017,2,100,1.02e-07,2.02e-07,0.429785873977181,0.428387852096949,0.428387852095978,9.71223101942087e-13,9.71223101942087e-13,2.26715836405718e-10,2.26715836405718e-10,1001
195,0.017,2,200,2.02e-07,3.02e-07,0.470956313680728,0.469644634971624,0.469644634971381,2.43138842392909e-13,2.43138842392909e-13,5.17708122882315e-11,5.17708122882315e-11,1001
207,0.017,2,300,3.02e-07,4.02e-07,0.493459220373111,0.492114635460032,0.492114635458966,1.06648023745493e-12,1.06648023745493e-12,2.16713781832148e-10,2.16713781832148e-10,1001
184,0.017,2.5,100,1.02e-07,2.02e-07,0.677070270268474,0.675343121953392,0.675343121949529,3.86290999188077e-12,3.86290999188077e-12,5.71992201639297e-10,5.71992201639297e-10,1001
196,0.017,2.5,200,2.02e-07,3.02e-07,0.72557075835038,0.723947090783412,0.723947090777088,6.32482954898705e-12,6.32482954898705e-12,8.73659087730113e-10,8.73659087730113e-10,1001
208,0.017,2.5,300,3.02e-07,4.02e-07,0.752457253696585,0.75079537742399,0.750795377413909,1.00810471082013e-11,1.00810471082013e-11,1.34271566012964e-09,1.34271566012964e-09,1001
185,0.017,3,100,1.02e-07,2.02e-07,0.868523587500749,0.866421663016042,0.86642166296642,4.96227503532509e-11,4.96227503532509e-11,5.72732105756826e-09,5.72732105756826e-09,1001
197,0.017,3,200,2.02e-07,3.02e-07,0.921520763107053,0.919529625426885,0.919529625327666,9.92189663762133e-11,9.92189663762133e-11,1.07901870296078e-08,1.07901870296078e-08,1001
209,0.017,3,300,3.02e-07,4.02e-07,0.950151561144204,0.948118339190067,0.948118339046823,1.43244416328514e-10,1.43244416328514e-10,1.5108284526052e-08,1.5108284526052e-08,1001
186,0.023,1.5,100,1.02e-07,2.02e-07,0.173269401574925,0.171812408278817,0.171812408278047,7.6966211182139e-13,7.6966211182139e-13,4.47966546497844e-10,4.47966546497844e-10,1001
198,0.023,1.5,200,2.02e-07,3.02e-07,0.206151954778682,0.204771627830343,0.204771627830731,-3.87939680379645e-13,3.87939680379645e-13,-1.89449917691264e-10,1.89449917691264e-10,1001
210,0.023,1.5,300,3.02e-07,4.02e-07,0.224788925434351,0.223385444709038,0.223385444708209,8.28642710004601e-13,8.28642710004601e-13,3.70947494400953e-10,3.70947494400953e-10,1001
187,0.023,2,100,1.02e-07,2.02e-07,0.448142759652559,0.446268356433244,0.446268356431898,1.34581235045061e-12,1.34581235045061e-12,3.01570194491693e-10,3.01570194491693e-10,1001
199,0.023,2,200,2.02e-07,3.02e-07,0.487754898032462,0.48597392003076,0.485973920030358,4.01456645704457e-13,4.01456645704457e-13,8.26086810747059e-11,8.26086810747059e-11,1001
211,0.023,2,300,3.02e-07,4.02e-07,0.509528137975366,0.507720962166489,0.507720962164957,1.53166368477287e-12,1.53166368477287e-12,3.01674305161072e-10,3.01674305161072e-10,1001
188,0.023,2.5,100,1.02e-07,2.02e-07,0.698566061397568,0.696249928546404,0.696249928539692,6.71196431767385e-12,6.71196431767385e-12,9.64016517988986e-10,9.64016517988986e-10,1001
200,0.023,2.5,200,2.02e-07,3.02e-07,0.745615771547049,0.743412765780008,0.743412765768613,1.13948850355428e-11,1.13948850355428e-11,1.5327803825896e-09,1.5327803825896e-09,1001
212,0.023,2.5,300,3.02e-07,4.02e-07,0.771772701792335,0.769539532840472,0.769539532822819,1.76533232476572e-11,1.76533232476572e-11,2.29401122285381e-09,2.29401122285381e-09,1001
189,0.023,3,100,1.02e-07,2.02e-07,0.892195061322021,0.889373335713146,0.889373335621938,9.12081521420305e-11,9.12081521420305e-11,1.02553279347975e-08,1.02553279347975e-08,1001
201,0.023,3,200,2.02e-07,3.02e-07,0.942918819436034,0.940216457160717,0.940216456986123,1.74594561030972e-10,1.74594561030972e-10,1.85696133801163e-08,1.85696133801163e-08,1001
213,0.023,3,300,3.02e-07,4.02e-07,0.970354586462743,0.967619197545797,0.967619197299205,2.46591969066401e-10,2.46591969066401e-10,2.54844023032863e-08,2.54844023032863e-08,1001
